id,truck_id,driver_id,trip_id,timestamp,fuel_level,lat,lon,speed,odometer_km,engine_status,anomaly_flag,anomaly_score,model_source,created_at
0960f435-e590-4c49-b613-ee33310ac897,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,6faa6991-d1d1-4546-b62e-7320b2e50279,2026-04-04T07:50:02.296975+00:00,70.81,14.559399,120.999058,65.3,44507.2,on,False,,,2026-04-04T07:50:02.296975+00:00
293991e0-05d0-4b45-a98d-e5af30b0607d,11111111-0000-0000-0000-000000000004,22222222-0000-0000-0000-000000000005,f7e0855d-6179-4373-a3b4-036ca822304c,2026-04-04T08:29:55.794531+00:00,75.73,14.586801,121.026224,87.8,59249.0,on,False,,,2026-04-04T08:29:55.794531+00:00
88be3779-1afb-4023-8719-f19d67c99480,11111111-0000-0000-0000-000000000004,22222222-0000-0000-0000-000000000005,f7e0855d-6179-4373-a3b4-036ca822304c,2026-04-04T07:50:10.115333+00:00,76.68,14.587243,121.025051,60.4,26350.3,on,False,,,2026-04-04T07:50:10.115333+00:00
11351d3a-853d-4ba9-b614-5d425ef4ff01,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,6faa6991-d1d1-4546-b62e-7320b2e50279,2026-04-04T07:50:24.027782+00:00,70.78,14.556824,120.999939,60.8,44507.5,on,False,,,2026-04-04T07:50:24.027782+00:00
84a9432e-9e7e-44aa-a252-f4420eb1d761,11111111-0000-0000-0000-000000000004,22222222-0000-0000-0000-000000000005,f7e0855d-6179-4373-a3b4-036ca822304c,2026-04-04T07:50:32.876408+00:00,76.61,14.586603,121.027641,78.1,26350.6,on,False,,,2026-04-04T07:50:32.876408+00:00
59ca6013-a5c6-4c5c-abe5-ab09e51a4cd3,11111111-0000-0000-0000-000000000004,22222222-0000-0000-0000-000000000005,f7e0855d-6179-4373-a3b4-036ca822304c,2026-04-04T07:50:39.688837+00:00,76.59,14.586235,121.028635,79.8,26350.7,on,False,,,2026-04-04T07:50:39.688837+00:00
006effc2-d09a-4d7d-8fb7-58a72f76d1d1,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000002,2026-04-02T22:10:20.38+00:00,88.0,14.5995,120.9842,0.0,32100.0,on,,,,2026-04-04T03:10:20.341271+00:00
45ef6cfb-3756-4b94-b462-1c12a9b1f665,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000002,2026-04-02T23:10:20.38+00:00,84.5,14.5,121.02,70.0,32150.0,on,,,,2026-04-04T03:10:20.341271+00:00
c75eb392-3916-4b50-8f2d-4b6d7f469c98,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000002,2026-04-03T00:10:20.38+00:00,80.1,14.35,121.08,75.0,32250.0,on,,,,2026-04-04T03:10:20.341271+00:00
5ebd970b-0ad9-4849-b0bc-a52194039ab8,11111111-0000-0000-0000-000000000002,22222222-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000002,2026-04-03T01:10:20.38+00:00,76.3,14.2,121.14,72.0,32350.0,on,,,,2026-04-04T03:10:20.341271+00:00
