recall,precision,threshold
1.0,0.0014207329022143838,-0.23834389487249963
1.0,0.0014208025084513252,-0.2259652927752565
1.0,0.0014208721215090642,-0.22215597598793413
1.0,0.001420941741388603,-0.2219387996441436
1.0,0.0014210113680909447,-0.21751694729574544
1.0,0.0014210810016170921,-0.21647531154956157
1.0,0.0014211506419680485,-0.213636777464642
1.0,0.0014212202891448174,-0.21240073710942659
1.0,0.0014212899431484023,-0.20886345772632858
1.0,0.0014213596039798068,-0.2074544516236913
1.0,0.0014214292716400352,-0.20314243716019165
1.0,0.0014214989461300916,-0.20269504832504037
1.0,0.0014215686274509803,-0.2007022676993167
1.0,0.0014216383156037062,-0.19951718221746673
1.0,0.0014217080105892734,-0.19934513622523004
1.0,0.0014217777124086875,-0.1986273211224276
1.0,0.0014218474210629536,-0.1983191097510546
1.0,0.0014219171365530768,-0.1981130407042503
1.0,0.0014219868588800629,-0.19797830178873693
1.0,0.0014220565880449173,-0.1969859592643627
1.0,0.0014221263240486465,-0.19688410388408462
1.0,0.0014221960668922564,-0.1966211829105856
1.0,0.0014222658165767533,-0.19655256479793998
1.0,0.0014223355731031438,-0.19651181012249158
1.0,0.0014224053364724348,-0.19647118506898936
1.0,0.001422475106685633,-0.1961148834708954
1.0,0.0014225448837437457,-0.19565046730586227
1.0,0.0014226146676477802,-0.19477139110896957
1.0,0.001422684458398744,-0.1938066563950923
1.0,0.001422754255997645,-0.1935611171687145
1.0,0.0014228240604454911,-0.193268121378936
1.0,0.0014228938717432903,-0.1928925868657025
1.0,0.001422963689892051,-0.1927252259308897
1.0,0.0014230335148927818,-0.19232201378636865
1.0,0.0014231033467464913,-0.19209908227824934
1.0,0.0014231731854541885,-0.1917530614587834
1.0,0.0014232430310168827,-0.19173480423075306
1.0,0.0014233128834355829,-0.19172038758668164
1.0,0.0014233827427112987,-0.19162309913212733
1.0,0.00142345260884504,-0.19046077843561898
1.0,0.0014235224818378166,-0.19026941074042497
1.0,0.0014235923616906386,-0.18903986617164698
1.0,0.0014236622484045164,-0.18834231707587024
1.0,0.0014237321419804604,-0.18817875546426932
1.0,0.0014238020424194816,-0.18741169487923154
1.0,0.0014238719497225904,-0.1866563244427476
1.0,0.0014239418638907985,-0.18652225530397354
1.0,0.0014240117849251166,-0.18487652890378842
1.0,0.0014240817128265567,-0.18468532293497908
1.0,0.0014241516475961302,-0.1840646835407994
1.0,0.0014242215892348493,-0.1825706834988441
1.0,0.0014242915377437257,-0.182370321419893
1.0,0.0014243614931237721,-0.182008952874879
1.0,0.0014244314553760009,-0.1812721769786218
1.0,0.0014245014245014246,-0.1798359824842215
1.0,0.001424571400501056,-0.1791566192012432
1.0,0.0014246413833759089,-0.1785896230469436
1.0,0.0014247113731269958,-0.17847793283645702
1.0,0.0014247813697553307,-0.17817045931674536
1.0,0.001424851373261927,-0.17653877732256334
1.0,0.0014249213836477986,-0.1763845087021737
1.0,0.00142499140091396,-0.1755149254579541
1.0,0.0014250614250614251,-0.17482490119452054
1.0,0.0014251314560912085,-0.17415120428343278
1.0,0.0014252014940043247,-0.17196793437221752
1.0,0.0014252715388017889,-0.17195563346645149
1.0,0.0014253415904846162,-0.1715106467661376
1.0,0.0014254116490538217,-0.17138103790951065
1.0,0.0014254817145104208,-0.1713559091482797
1.0,0.0014255517868554293,-0.1695947808858198
1.0,0.0014256218660898634,-0.1688645609591955
1.0,0.0014256919522147387,-0.1687615148001529
1.0,0.0014257620452310718,-0.16861764167635862
1.0,0.001425832145139879,-0.1685311050270406
1.0,0.0014259022519421771,-0.16834579311237519
1.0,0.001425972365638983,-0.16794372053638784
1.0,0.0014260424862313139,-0.1676377703823279
1.0,0.0014261126137201869,-0.1673159008865222
1.0,0.0014261827481066194,-0.16695313212386165
1.0,0.0014262528893916294,-0.1668436360339809
1.0,0.0014263230375762344,-0.16675613576121268
1.0,0.001426393192661453,-0.16661095751455163
1.0,0.001426463354648303,-0.16545361489871718
1.0,0.0014265335235378032,-0.1649567616055294
1.0,0.001426603699330972,-0.16422228975877529
1.0,0.0014266738820288287,-0.1634046642882735
1.0,0.001426744071632392,-0.16253740020000074
1.0,0.0014268142681426814,-0.16243547037080885
1.0,0.0014268844715607165,-0.1623195487545821
